TeamA,TeamB,Year,Round,A_win
USC,Drake,2021,1,1
Kansas,Eastern Washington,2021,1,1
Oregon,VCU,2021,1,1
Iowa,Grand Canyon,2021,1,1
Oregon,Iowa,2021,2,1
USC,Kansas,2021,2,1
Creighton,Ohio,2021,2,1
Gonzaga,Oklahoma,2021,2,1
Gonzaga,Creighton,2021,3,1
USC,Oregon,2021,3,1
Gonzaga,USC,2021,4,1
Baylor,Houston,2021,5,1
Gonzaga,UCLA,2021,5,1
Baylor,Gonzaga,2021,6,1
