TeamA,TeamB,PaseA,PaseB,AlphaA,AlphaB,Year,Round,A_win
Creighton,Ohio,0.9,3.3,0,0,2021,2,1
Virginia,Ohio,-7.3,3.3,0,0,2021,1,0
Gonzaga,Oklahoma,3.8,0.7,0,0,2021,2,1
Oregon State,Oklahoma State,1.6,-4.2,0,0,2021,2,1
Arkansas,Oral Roberts,3.5,1.1,0,0,2021,3,1
Duke,Oral Roberts,0,1.1,0,0,2023,1,1
Florida,Oral Roberts,5.9,1.1,0,0,2021,2,0
Ohio State,Oral Roberts,-2.7,1.1,0,0,2021,1,0
Southern California,Oregon,-0.6,5.7,0,0,2021,3,1
Loyola (IL),Oregon State,4,1.6,0,0,2021,3,0
Tennessee,Oregon State,-1,1.6,0,0,2021,1,0
Texas A&M,Penn State,0.1,-0.2,0,0,2023,1,0
Iowa State,Pitt,-1.5,-4.6,0,0,2023,1,0
Arizona,Princeton,-2.5,1.1,0,0,2023,1,0
Creighton,Princeton,0.9,1.1,0,0,2023,3,1
Missouri,Princeton,-3.3,1.1,0,0,2023,2,0
Kansas,Providence,-1.8,-2.1,0,0,2022,3,1
Kentucky,Providence,8.5,-2.1,0,0,2023,1,1
Richmond,Providence,1.1,-2.1,0,0,2022,2,0
Texas,Purdue,-4.6,-4.4,0,0,2022,2,0
Iowa,Richmond,-2.6,1.1,0,0,2022,1,0
Clemson,Rutgers,-3.5,0.4,0,0,2021,1,0
Alabama,San Diego State,-2.9,0.2,0,0,2023,3,0
Florida Atlantic,San Diego State,3.4,0.2,0,0,2023,5,0
Murray State,San Francisco,0.8,-0.6,0,0,2022,1,1
Providence,South Dakota State,-2.1,-1.7,0,0,2022,1,1
LSU,St. Bonaventure,-1,-1.4,0,0,2021,1,1
Kentucky,St. Peter's,8.5,2.7,0,0,2022,1,0
Murray State,St. Peter's,0.8,2.7,0,0,2022,2,0
Purdue,St. Peter's,-4.4,2.7,0,0,2022,3,0
UNC,St. Peter's,9.8,2.7,0,0,2022,4,1
San Diego State,Syracuse,0.2,4.7,0,0,2021,1,0
Arizona,TCU,-2.5,-0.7,0,0,2022,2,1
Seton Hall,TCU,-2.7,-0.7,0,0,2022,1,0
